timestamp millis,Plantar Pressure Voltage
28238,"0.42,0.23,0.21,0.16,0.32,0.18,0.16,0.09,0.46,0.30,0.25,0.09,0.11,0.56,0.40,0.34,0.16,0.06,0.62,0.32,0.28,0.14,0.08,0.40,0.21,0.22,0.12,0.08,0.08,0.04,0.05,0.08,0.13,0.01,0.01,0.05,0.12,0.03,0.00,0.03,0.08,0.02,0.00,0.01,0.13,0.03,0.00,0.00,0.08,0.04,0.02,0.01,0.04,0.06,0.00,0.00,0.04,0.11,0.00,0.00,0.05,0.12,0.03,0.85"
28305,"0.32,0.11,0.07,0.69,0.14,0.04,0.06,0.04,0.35,0.13,0.08,0.04,0.10,0.48,0.29,0.21,0.06,0.05,0.55,0.24,0.22,0.09,0.05,0.41,0.19,0.15,0.06,0.05,0.09,0.03,0.03,0.02,0.04,0.01,0.02,0.02,0.05,0.01,0.00,0.00,0.03,0.02,0.00,0.00,0.07,0.05,0.01,0.00,0.04,0.03,0.00,0.00,0.02,0.04,0.00,0.00,0.02,0.08,0.00,0.01,0.06,0.12,0.02,0.00"
28372,"0.02,0.02,0.03,0.01,0.03,0.01,0.01,0.00,0.07,0.02,0.03,0.01,0.00,0.13,0.05,0.06,0.02,0.01,0.21,0.06,0.08,0.03,0.01,0.17,0.03,0.05,0.05,0.03,0.08,0.02,0.03,0.06,0.05,0.02,0.02,0.02,0.04,0.03,0.01,0.01,0.05,0.06,0.02,0.00,0.11,0.05,0.02,0.00,0.06,0.07,0.05,0.00,0.04,0.20,0.10,0.00,0.03,0.14,0.08,0.00,0.06,0.13,0.01,0.01"
28437,"0.02,0.01,0.02,0.00,0.02,0.00,0.00,0.00,0.05,0.01,0.02,0.01,0.00,0.18,0.08,0.06,0.02,0.01,0.34,0.09,0.08,0.04,0.00,0.21,0.07,0.06,0.06,0.03,0.10,0.02,0.01,0.02,0.07,0.01,0.01,0.04,0.06,0.04,0.00,0.01,0.06,0.03,0.01,0.00,0.12,0.04,0.00,0.00,0.09,0.11,0.09,0.00,0.05,0.22,0.12,0.00,0.03,0.15,0.08,0.00,0.06,0.16,0.02,0.03"
28505,"0.02,0.00,0.03,0.00,0.02,0.03,0.03,0.00,0.06,0.03,0.02,0.01,0.00,0.23,0.10,0.05,0.03,0.00,0.37,0.08,0.06,0.04,0.03,0.23,0.05,0.07,0.07,0.04,0.08,0.03,0.04,0.02,0.05,0.04,0.01,0.02,0.04,0.02,0.00,0.03,0.07,0.04,0.00,0.01,0.13,0.04,0.02,0.00,0.08,0.10,0.08,0.00,0.05,0.23,0.13,0.00,0.04,0.17,0.09,0.00,0.08,0.19,0.02,0.00"
28572,"0.02,0.02,0.03,0.01,0.03,0.01,0.01,0.00,0.06,0.03,0.02,0.00,0.00,0.18,0.09,0.06,0.03,0.01,0.34,0.08,0.08,0.07,0.02,0.21,0.04,0.07,0.10,0.04,0.11,0.03,0.02,0.04,0.03,0.04,0.05,0.03,0.05,0.03,0.01,0.02,0.07,0.03,0.00,0.00,0.15,0.07,0.03,0.01,0.06,0.09,0.08,0.01,0.06,0.23,0.12,0.01,0.04,0.17,0.06,0.00,0.08,0.19,0.00,0.00"
28637,"0.01,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.04,0.03,0.02,0.01,0.00,0.17,0.06,0.06,0.04,0.00,0.35,0.07,0.08,0.05,0.01,0.25,0.05,0.07,0.09,0.03,0.10,0.02,0.01,0.03,0.05,0.04,0.02,0.02,0.04,0.04,0.01,0.01,0.04,0.02,0.01,0.02,0.15,0.05,0.02,0.01,0.09,0.11,0.08,0.00,0.04,0.22,0.10,0.00,0.05,0.17,0.07,0.00,0.08,0.19,0.02,0.02"
28704,"0.02,0.02,0.03,0.02,0.01,0.00,0.02,0.00,0.04,0.04,0.03,0.00,0.00,0.18,0.06,0.05,0.00,0.00,0.38,0.06,0.08,0.03,0.01,0.27,0.03,0.08,0.08,0.03,0.10,0.02,0.03,0.04,0.03,0.03,0.01,0.02,0.04,0.03,0.00,0.01,0.06,0.03,0.01,0.00,0.12,0.04,0.02,0.00,0.08,0.06,0.07,0.00,0.03,0.15,0.11,0.00,0.04,0.13,0.06,0.00,0.09,0.17,0.01,0.00"
28771,"0.01,0.02,0.03,0.01,0.01,0.00,0.01,0.00,0.04,0.02,0.02,0.01,0.00,0.12,0.06,0.08,0.03,0.00,0.29,0.05,0.07,0.05,0.01,0.25,0.05,0.10,0.08,0.02,0.09,0.02,0.03,0.04,0.03,0.05,0.01,0.01,0.03,0.02,0.01,0.02,0.06,0.02,0.00,0.01,0.16,0.02,0.02,0.00,0.09,0.06,0.04,0.02,0.05,0.14,0.07,0.03,0.04,0.09,0.03,0.00,0.07,0.13,0.00,0.00"
28836,"0.12,0.05,0.06,0.01,0.07,0.03,0.02,0.00,0.03,0.04,0.04,0.01,0.00,0.09,0.05,0.04,0.01,0.01,0.13,0.02,0.06,0.07,0.05,0.11,0.01,0.09,0.11,0.06,0.06,0.03,0.03,0.08,0.06,0.02,0.02,0.03,0.07,0.01,0.03,0.06,0.10,0.01,0.03,0.08,0.23,0.03,0.05,0.09,0.12,0.14,0.17,0.14,0.09,0.32,0.27,0.17,0.05,0.31,0.29,0.18,0.09,0.20,0.44,0.22"
