timestamp millis,Plantar Pressure Voltage
11660.0,"0.19,0.13,0.11,0.58,0.12,0.09,0.11,0.03,0.24,0.06,0.05,0.12,0.01,0.38,0.23,0.21,0.12,0.03,0.54,0.18,0.26,0.17,0.11,0.36,0.15,0.25,0.22,0.19,0.10,0.06,0.12,0.21,0.32,0.04,0.03,0.17,0.28,0.03,0.04,0.16,0.34,0.07,0.14,0.24,0.48,0.18,0.26,0.26,0.36,0.41,0.31,0.29,0.21,0.52,0.36,0.31,0.14,0.49,0.38,0.29,0.13,0.49,0.53,0.37"
11725.0,"0.19,0.14,0.13,0.58,0.13,0.10,0.11,0.01,0.26,0.05,0.05,0.13,0.03,0.38,0.21,0.20,0.12,0.05,0.54,0.19,0.26,0.19,0.11,0.35,0.15,0.24,0.22,0.20,0.11,0.05,0.10,0.21,0.31,0.04,0.06,0.16,0.30,0.05,0.04,0.15,0.31,0.06,0.14,0.24,0.47,0.17,0.26,0.27,0.35,0.42,0.32,0.29,0.19,0.50,0.36,0.31,0.14,0.48,0.37,0.30,0.13,0.49,0.54,0.38"
11792.0,"0.18,0.13,0.13,0.57,0.13,0.10,0.11,0.03,0.24,0.06,0.05,0.11,0.00,0.40,0.21,0.20,0.13,0.04,0.53,0.17,0.26,0.18,0.11,0.36,0.15,0.24,0.22,0.18,0.11,0.05,0.10,0.22,0.31,0.04,0.04,0.16,0.30,0.05,0.04,0.14,0.32,0.07,0.15,0.24,0.47,0.18,0.26,0.26,0.36,0.42,0.32,0.29,0.18,0.50,0.37,0.31,0.14,0.48,0.38,0.29,0.13,0.49,0.54,0.38"
11859.0,"0.19,0.12,0.13,0.58,0.14,0.10,0.11,0.01,0.23,0.05,0.05,0.14,0.01,0.38,0.21,0.21,0.12,0.02,0.56,0.18,0.27,0.19,0.11,0.36,0.14,0.23,0.22,0.20,0.11,0.05,0.11,0.22,0.31,0.04,0.05,0.16,0.29,0.06,0.05,0.15,0.33,0.07,0.13,0.23,0.47,0.17,0.26,0.27,0.35,0.41,0.33,0.29,0.20,0.51,0.37,0.30,0.13,0.48,0.37,0.30,0.14,0.49,0.54,0.38"
11925.0,"0.19,0.12,0.12,0.57,0.12,0.11,0.12,0.01,0.25,0.07,0.06,0.13,0.00,0.40,0.21,0.21,0.13,0.03,0.55,0.17,0.26,0.19,0.12,0.36,0.14,0.25,0.22,0.19,0.12,0.06,0.10,0.23,0.32,0.04,0.04,0.16,0.29,0.05,0.06,0.14,0.33,0.07,0.14,0.23,0.48,0.18,0.26,0.25,0.35,0.41,0.32,0.29,0.21,0.51,0.37,0.30,0.14,0.48,0.37,0.28,0.15,0.48,0.54,0.39"
11992.0,"0.16,0.13,0.15,0.57,0.14,0.11,0.10,0.02,0.25,0.07,0.05,0.11,0.00,0.38,0.22,0.22,0.12,0.03,0.54,0.17,0.27,0.20,0.10,0.36,0.15,0.25,0.22,0.18,0.12,0.04,0.11,0.22,0.31,0.04,0.02,0.16,0.30,0.07,0.05,0.14,0.34,0.08,0.14,0.23,0.48,0.18,0.26,0.24,0.35,0.41,0.34,0.29,0.19,0.51,0.37,0.30,0.14,0.49,0.38,0.29,0.12,0.49,0.54,0.39"
12057.0,"0.19,0.13,0.14,0.57,0.14,0.10,0.11,0.01,0.23,0.06,0.05,0.13,0.01,0.38,0.22,0.21,0.12,0.02,0.55,0.18,0.27,0.18,0.11,0.37,0.14,0.24,0.23,0.19,0.11,0.05,0.11,0.22,0.31,0.04,0.04,0.17,0.28,0.04,0.04,0.15,0.33,0.07,0.15,0.25,0.49,0.19,0.27,0.24,0.37,0.41,0.31,0.28,0.20,0.51,0.37,0.28,0.13,0.50,0.38,0.29,0.14,0.49,0.53,0.37"
12125.0,"0.18,0.13,0.12,0.57,0.12,0.10,0.11,0.01,0.25,0.07,0.05,0.12,0.00,0.38,0.21,0.21,0.11,0.03,0.54,0.19,0.27,0.18,0.11,0.35,0.14,0.26,0.23,0.18,0.11,0.05,0.11,0.22,0.30,0.04,0.03,0.17,0.30,0.05,0.04,0.15,0.33,0.07,0.12,0.23,0.49,0.19,0.26,0.26,0.36,0.42,0.32,0.29,0.20,0.51,0.37,0.29,0.14,0.50,0.38,0.28,0.14,0.49,0.54,0.38"
12191.0,"0.18,0.15,0.12,0.59,0.13,0.11,0.11,0.01,0.26,0.07,0.04,0.13,0.03,0.39,0.21,0.21,0.11,0.03,0.54,0.20,0.27,0.18,0.11,0.35,0.15,0.25,0.21,0.19,0.11,0.06,0.11,0.22,0.30,0.03,0.04,0.18,0.29,0.04,0.05,0.15,0.33,0.07,0.12,0.23,0.49,0.18,0.25,0.25,0.37,0.43,0.31,0.29,0.20,0.50,0.37,0.31,0.15,0.49,0.38,0.28,0.13,0.49,0.54,0.38"
12257.0,"0.18,0.13,0.13,0.58,0.13,0.09,0.10,0.02,0.26,0.07,0.05,0.12,0.01,0.38,0.22,0.22,0.12,0.04,0.54,0.18,0.26,0.21,0.11,0.36,0.14,0.24,0.21,0.18,0.09,0.05,0.11,0.22,0.31,0.03,0.04,0.16,0.29,0.04,0.04,0.15,0.34,0.07,0.14,0.23,0.48,0.16,0.25,0.28,0.36,0.41,0.34,0.30,0.20,0.52,0.38,0.29,0.15,0.49,0.38,0.29,0.13,0.49,0.54,0.40"
