timestamp millis,Plantar Pressure Voltage
13145.0,"0.33,0.25,0.17,0.07,0.18,0.12,0.22,0.01,0.26,0.10,0.08,0.11,0.03,0.46,0.26,0.26,0.13,0.05,0.57,0.19,0.27,0.19,0.14,0.35,0.14,0.27,0.23,0.20,0.13,0.04,0.08,0.20,0.29,0.04,0.04,0.17,0.28,0.07,0.08,0.20,0.35,0.10,0.20,0.24,0.47,0.21,0.28,0.26,0.36,0.43,0.31,0.29,0.25,0.50,0.38,0.31,0.19,0.47,0.34,0.27,0.23,0.39,0.55,0.40"
13213.0,"0.34,0.24,0.16,0.06,0.18,0.12,0.22,0.02,0.25,0.10,0.10,0.13,0.02,0.46,0.26,0.26,0.15,0.05,0.58,0.20,0.27,0.19,0.13,0.35,0.14,0.23,0.22,0.21,0.13,0.05,0.09,0.20,0.29,0.04,0.06,0.16,0.27,0.08,0.07,0.20,0.35,0.10,0.19,0.24,0.45,0.21,0.29,0.28,0.35,0.41,0.32,0.28,0.25,0.49,0.38,0.31,0.18,0.47,0.35,0.29,0.22,0.38,0.55,0.38"
13279.0,"0.32,0.24,0.18,0.05,0.18,0.10,0.21,0.02,0.23,0.11,0.10,0.12,0.01,0.46,0.26,0.26,0.14,0.04,0.57,0.19,0.27,0.19,0.13,0.37,0.14,0.24,0.22,0.20,0.12,0.04,0.09,0.21,0.30,0.06,0.04,0.15,0.27,0.09,0.07,0.20,0.35,0.10,0.20,0.22,0.46,0.22,0.29,0.25,0.35,0.43,0.33,0.27,0.25,0.50,0.38,0.30,0.18,0.46,0.37,0.26,0.21,0.38,0.56,0.39"
13345.0,"0.32,0.24,0.18,0.06,0.19,0.11,0.21,0.01,0.24,0.11,0.10,0.11,0.01,0.45,0.25,0.27,0.15,0.04,0.57,0.20,0.27,0.19,0.12,0.36,0.13,0.25,0.22,0.20,0.13,0.04,0.08,0.21,0.30,0.05,0.04,0.16,0.28,0.08,0.08,0.18,0.35,0.11,0.21,0.23,0.47,0.22,0.29,0.26,0.35,0.42,0.32,0.27,0.24,0.49,0.39,0.31,0.18,0.47,0.36,0.28,0.21,0.38,0.55,0.39"
13411.0,"0.33,0.24,0.18,0.06,0.18,0.13,0.22,0.02,0.26,0.10,0.08,0.11,0.02,0.45,0.26,0.27,0.14,0.05,0.57,0.20,0.27,0.18,0.12,0.37,0.14,0.23,0.21,0.20,0.12,0.05,0.09,0.21,0.29,0.05,0.04,0.16,0.28,0.07,0.06,0.20,0.37,0.11,0.18,0.24,0.47,0.22,0.29,0.26,0.35,0.42,0.31,0.27,0.26,0.50,0.38,0.31,0.19,0.47,0.36,0.28,0.22,0.38,0.55,0.38"
13478.0,"0.33,0.24,0.18,0.06,0.19,0.11,0.22,0.02,0.27,0.12,0.08,0.12,0.02,0.46,0.26,0.24,0.14,0.06,0.58,0.20,0.27,0.19,0.13,0.35,0.15,0.25,0.22,0.21,0.13,0.05,0.09,0.18,0.28,0.04,0.05,0.16,0.28,0.08,0.07,0.20,0.35,0.13,0.20,0.24,0.47,0.22,0.29,0.26,0.34,0.42,0.32,0.28,0.25,0.50,0.38,0.30,0.19,0.48,0.36,0.27,0.21,0.36,0.54,0.39"
13545.0,"0.32,0.25,0.17,0.07,0.18,0.11,0.22,0.02,0.26,0.11,0.08,0.11,0.03,0.45,0.24,0.25,0.14,0.07,0.57,0.20,0.28,0.19,0.12,0.36,0.15,0.23,0.21,0.20,0.13,0.04,0.08,0.21,0.30,0.04,0.04,0.17,0.27,0.07,0.07,0.19,0.34,0.10,0.20,0.24,0.47,0.21,0.29,0.27,0.36,0.42,0.32,0.29,0.25,0.49,0.38,0.31,0.19,0.47,0.35,0.28,0.23,0.38,0.54,0.40"
13611.0,"0.33,0.23,0.19,0.05,0.19,0.11,0.22,0.02,0.24,0.10,0.11,0.13,0.01,0.46,0.26,0.26,0.15,0.04,0.57,0.20,0.27,0.19,0.13,0.35,0.15,0.25,0.22,0.20,0.12,0.04,0.09,0.20,0.29,0.06,0.05,0.15,0.28,0.08,0.07,0.20,0.35,0.10,0.19,0.26,0.47,0.22,0.30,0.26,0.34,0.42,0.31,0.26,0.25,0.49,0.38,0.31,0.17,0.46,0.36,0.29,0.21,0.38,0.55,0.39"
13677.0,"0.31,0.24,0.19,0.06,0.18,0.11,0.22,0.01,0.26,0.11,0.10,0.11,0.02,0.46,0.27,0.27,0.14,0.05,0.56,0.19,0.27,0.18,0.15,0.35,0.15,0.24,0.22,0.18,0.13,0.07,0.10,0.20,0.29,0.05,0.04,0.16,0.28,0.08,0.07,0.19,0.35,0.10,0.21,0.23,0.47,0.22,0.29,0.26,0.35,0.43,0.32,0.27,0.24,0.50,0.38,0.31,0.19,0.47,0.35,0.26,0.23,0.38,0.55,0.39"
13745.0,"0.35,0.24,0.18,0.06,0.19,0.09,0.22,0.02,0.26,0.10,0.08,0.13,0.02,0.45,0.26,0.27,0.15,0.05,0.58,0.20,0.27,0.17,0.13,0.35,0.15,0.26,0.22,0.20,0.12,0.05,0.10,0.19,0.29,0.04,0.05,0.16,0.27,0.07,0.06,0.20,0.35,0.10,0.19,0.24,0.48,0.22,0.29,0.26,0.35,0.42,0.31,0.28,0.26,0.50,0.37,0.31,0.21,0.48,0.35,0.28,0.22,0.38,0.55,0.38"
13810.0,"0.32,0.23,0.18,0.06,0.16,0.11,0.23,0.02,0.26,0.12,0.10,0.11,0.01,0.46,0.26,0.26,0.15,0.05,0.56,0.22,0.27,0.18,0.13,0.35,0.14,0.23,0.25,0.20,0.13,0.06,0.09,0.20,0.29,0.08,0.05,0.16,0.26,0.08,0.07,0.20,0.35,0.10,0.19,0.23,0.45,0.22,0.29,0.26,0.34,0.41,0.31,0.29,0.26,0.50,0.38,0.31,0.19,0.47,0.36,0.28,0.22,0.37,0.54,0.39"
13877.0,"0.33,0.25,0.17,0.07,0.18,0.12,0.22,0.01,0.26,0.10,0.09,0.11,0.03,0.46,0.26,0.27,0.15,0.05,0.58,0.20,0.26,0.19,0.13,0.36,0.15,0.23,0.22,0.21,0.14,0.05,0.09,0.20,0.29,0.05,0.06,0.17,0.27,0.08,0.08,0.20,0.35,0.11,0.20,0.23,0.46,0.21,0.29,0.28,0.35,0.41,0.33,0.28,0.25,0.49,0.38,0.31,0.19,0.46,0.35,0.28,0.23,0.38,0.55,0.40"
13944.0,"0.32,0.24,0.18,0.06,0.18,0.11,0.22,0.02,0.29,0.12,0.10,0.11,0.01,0.44,0.26,0.26,0.14,0.07,0.58,0.19,0.27,0.18,0.12,0.35,0.13,0.24,0.22,0.21,0.13,0.05,0.09,0.20,0.29,0.06,0.04,0.16,0.28,0.08,0.06,0.19,0.35,0.10,0.20,0.23,0.46,0.23,0.29,0.26,0.35,0.42,0.31,0.26,0.25,0.49,0.38,0.31,0.17,0.48,0.36,0.28,0.22,0.37,0.56,0.40"
14011.0,"0.32,0.24,0.18,0.05,0.18,0.10,0.22,0.02,0.23,0.11,0.10,0.11,0.03,0.45,0.26,0.27,0.16,0.04,0.57,0.19,0.28,0.19,0.13,0.36,0.14,0.24,0.23,0.20,0.13,0.05,0.09,0.20,0.29,0.07,0.04,0.15,0.29,0.08,0.07,0.20,0.35,0.10,0.20,0.22,0.46,0.22,0.31,0.26,0.35,0.43,0.32,0.28,0.25,0.49,0.38,0.31,0.18,0.46,0.37,0.29,0.20,0.38,0.56,0.39"
14076.0,"0.32,0.26,0.19,0.09,0.19,0.12,0.21,0.01,0.24,0.11,0.10,0.11,0.01,0.45,0.25,0.28,0.15,0.04,0.57,0.20,0.27,0.19,0.12,0.36,0.14,0.25,0.22,0.20,0.13,0.04,0.09,0.22,0.29,0.05,0.04,0.16,0.28,0.08,0.06,0.19,0.35,0.11,0.20,0.23,0.47,0.22,0.29,0.26,0.35,0.42,0.32,0.26,0.25,0.49,0.39,0.31,0.19,0.47,0.36,0.28,0.22,0.38,0.55,0.38"
14143.0,"0.33,0.24,0.18,0.05,0.18,0.10,0.22,0.03,0.26,0.11,0.10,0.11,0.01,0.45,0.28,0.27,0.14,0.06,0.57,0.20,0.27,0.17,0.13,0.34,0.15,0.25,0.22,0.20,0.12,0.05,0.11,0.21,0.29,0.05,0.04,0.16,0.27,0.06,0.07,0.20,0.37,0.11,0.18,0.25,0.47,0.22,0.29,0.26,0.35,0.42,0.31,0.28,0.27,0.49,0.38,0.31,0.18,0.47,0.36,0.28,0.22,0.38,0.56,0.38"
14211.0,"0.34,0.24,0.18,0.07,0.18,0.12,0.22,0.01,0.27,0.10,0.10,0.11,0.03,0.46,0.26,0.25,0.14,0.07,0.58,0.20,0.27,0.19,0.13,0.35,0.15,0.23,0.22,0.21,0.13,0.05,0.09,0.19,0.29,0.05,0.05,0.17,0.27,0.08,0.08,0.20,0.34,0.09,0.19,0.24,0.48,0.22,0.29,0.26,0.35,0.40,0.31,0.28,0.25,0.49,0.37,0.31,0.20,0.46,0.35,0.28,0.23,0.36,0.54,0.39"
14276.0,"0.34,0.25,0.17,0.07,0.18,0.12,0.22,0.02,0.26,0.10,0.09,0.12,0.03,0.46,0.26,0.26,0.15,0.05,0.57,0.21,0.26,0.19,0.14,0.35,0.15,0.23,0.21,0.21,0.14,0.05,0.09,0.20,0.29,0.04,0.05,0.17,0.27,0.07,0.08,0.20,0.35,0.10,0.20,0.24,0.47,0.21,0.29,0.27,0.36,0.42,0.32,0.28,0.25,0.49,0.38,0.31,0.19,0.47,0.34,0.28,0.23,0.38,0.55,0.40"
14343.0,"0.33,0.23,0.19,0.04,0.19,0.11,0.22,0.02,0.25,0.09,0.11,0.13,0.01,0.46,0.26,0.26,0.15,0.04,0.58,0.19,0.28,0.19,0.13,0.36,0.14,0.24,0.22,0.21,0.13,0.05,0.09,0.20,0.29,0.05,0.06,0.16,0.28,0.08,0.08,0.20,0.35,0.11,0.19,0.25,0.46,0.23,0.29,0.26,0.35,0.42,0.32,0.27,0.24,0.48,0.37,0.31,0.21,0.46,0.35,0.28,0.22,0.37,0.55,0.38"
14408.0,"0.32,0.24,0.19,0.06,0.19,0.11,0.22,0.00,0.27,0.10,0.11,0.11,0.01,0.46,0.24,0.25,0.15,0.06,0.56,0.18,0.27,0.18,0.13,0.35,0.16,0.24,0.22,0.19,0.13,0.05,0.08,0.20,0.29,0.05,0.03,0.14,0.28,0.08,0.08,0.20,0.33,0.09,0.19,0.25,0.46,0.22,0.29,0.26,0.35,0.42,0.33,0.29,0.24,0.51,0.39,0.31,0.19,0.47,0.36,0.27,0.20,0.36,0.57,0.40"
